BERTopic 主题结果
  disarmament: 0.0309

主题 29:
  grant: 0.1357
  lay: 0.1193
  wale: 0.1094
  england: 0.1044
  january: 0.0747
  crime: 0.0747
  officer: 0.0655
  february: 0.0623
  midland: 0.0321
  constable: 0.0266

主题 30:
  assembly: 0.1315
  wale: 0.1085
  welsh: 0.0953
  power: 0.0451
  devolution: 0.0275
  devolve: 0.0219
  transfer: 0.0184
  legislative: 0.0181
  function: 0.0168
  primary: 0.0152

主题 31:
  oil: 0.0778
  fuel: 0.0651
  price: 0.0547
  vehicle: 0.0437
  ved: 0.0435
  car: 0.0400
  duty: 0.0378
  gas: 0.0321
  sea: 0.0271
  rural: 0.0244

主题 32:
  settlement: 0.0459
  county: 0.0297
  grant: 0.0292
  finance: 0.0185
  ssa: 0.0183
  formula: 0.0182
  rural: 0.0167
  labour: 0.0164
  cap: 0.0160
  care: 0.0160

主题 33:
  lottery: 0.1251
  sport: 0.0997
  olympic: 0.0592
  game: 0.0489
  olympics: 0.0454
  adviser: 0.0307
  london: 0.0306
  sunday: 0.0286
  participation: 0.0272
  bid: 0.0240

主题 34:
  woman: 0.1841
  gender: 0.0576
  men: 0.0488
  gap: 0.0439
  equality: 0.0421
  womens: 0.0360
  equal: 0.0353
  equalisation: 0.0185
  child: 0.0176
  earn: 0.0170

主题 35:
  dear: 2.0022
  itthey: 1.4031
  presumably: 0.8371
  man: 0.6250
  certainly: 0.4700
  : 0.0000
  : 0.0000
  : 0.0000
  : 0.0000
  : 0.0000

主题 36:
  crime: 0.0796
  officer: 0.0730
  constable: 0.0296
  grant: 0.0254
  neighbourhood: 0.0226
  chief: 0.0225
  settlement: 0.0216
  precept: 0.0205
  frontline: 0.0189
  commissioner: 0.0174

主题 37:
  airport: 0.1645
  heathrow: 0.1033
  noise: 0.0806
  flight: 0.0696
  runway: 0.0579
  apd: 0.0529
  air: 0.0490
  aviation: 0.0444
  aircraft: 0.0426
  passenger: 0.0398

