K值,轮廓系数 (Silhouette Score),CH指数 (Calinski-Harabasz Score),DBI指数 (Davies-Bouldin Index),耗时 (秒)
5,0.041692356424757736,1160.449826579522,3.999395664601046,10.185148477554321
6,0.03856774217181408,1056.356396075882,3.885241958606265,8.26791501045227
7,0.039291215550229415,975.9824952303551,3.7323587231586615,8.241968154907227
8,0.04319620773739633,909.7187262852988,3.528438190268696,8.503244400024414
9,0.039620275703687216,851.3261634564386,3.6190715005081415,8.698847532272339
10,0.04220342677468671,816.2070587226798,3.437348433845328,8.658643245697021
11,0.042785836154488756,779.7636596530406,3.3931506145147825,8.590290546417236
12,0.0415959011787305,743.581969814431,3.379175380445716,8.953510284423828
